gia_ban,loai_hinh,dien_tich_dat,giay_to_phap_ly,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,dac_diem,chieu_ngang,duong_lon,vi_tri_dat,garage,san_vuon,hai_mat_tien,view,vi_tri_trung_tam,truong_hoc,san_bay,benh_vien,sieu_thi,giao_thong,giai_tri,dia_diem_dac_biet,phuong,gia_m2_tham_khao
4700000000.0,"Nhà ngõ, hẻm",24.0,Đã có sổ,2.0,3.0,3.0,Không rõ,Thông thường,4.0,False,False,False,True,False,False,True,True,False,False,True,False,False,False,Phường Bình Lợi Trung,157.6
6500000000.0,"Nhà ngõ, hẻm",46.0,Chưa xác định,3.0,3.0,2.0,Không rõ,Thông thường,4.2,False,False,False,True,False,False,True,False,False,False,False,False,False,False,Phường Bình Lợi Trung,132.73
5000000000.0,"Nhà ngõ, hẻm",35.0,Chưa xác định,5.0,3.0,3.0,Không rõ,Hẻm xe hơi,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Phường Gia Định,107.78
5450000000.0,"Nhà ngõ, hẻm",38.7,Đã có sổ,2.0,2.0,2.0,Không rõ,Nhà nở hậu,3.95,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Phường Thạnh Mỹ Tây,94.84
7000000000.0,"Nhà mặt phố, mặt tiền",52.0,Đã có sổ,7.0,6.0,3.0,Không rõ,Hẻm xe hơi,4.0,False,False,False,True,False,False,False,True,True,True,True,False,False,False,Phường Gia Định,170.0
10800000000.0,"Nhà ngõ, hẻm",105.0,Đã có sổ,6.0,5.0,4.0,Nội thất đầy đủ,Hẻm xe hơi,4.0,True,False,False,False,True,False,True,False,False,False,False,True,True,False,Phường Bình Thạnh,147.5
11900000000.0,"Nhà ngõ, hẻm",90.0,Đã có sổ,3.0,3.0,2.0,Nội thất cao cấp,Hẻm xe hơi,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Phường Bình Thạnh,171.74
6868000000.0,"Nhà ngõ, hẻm",35.5,Đã có sổ,5.0,3.0,3.0,Không rõ,Thông thường,3.6,False,False,False,True,False,False,True,False,False,False,False,False,False,False,Phường Bình Lợi Trung,157.6
2750000000.0,"Nhà ngõ, hẻm",14.0,Đã có sổ,2.0,2.0,2.0,Nội thất đầy đủ,Thông thường,4.3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,Phường Bình Thạnh,140.0
4700000000.0,"Nhà ngõ, hẻm",53.0,Đã có sổ,3.0,2.0,2.0,Không rõ,Hẻm xe hơi,4.2,True,False,False,False,False,False,False,True,True,True,True,False,False,False,Phường Bình Lợi Trung,151.41
